experiment,lang,head_type,weights,model_short,max_length,relevance_f1,utilization_f1,adherence_f1,test_relevance_f1,test_utilization_f1,test_adherence_f1
RU Simple 1:1:1,RU,Simple,1:1:1,ModernBERT,8192,0.7348377704620361,0.8123213648796082,0.9412274956703186,0.7310429811477661,0.7973698973655701,0.9281443953514099
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,256,0.7500241994857788,0.7537071704864502,0.9378209114074707,0.7059239745140076,0.6727909445762634,0.9018821120262146
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,512,0.7781445980072021,0.7629708647727966,0.8966221809387207,0.7786203026771545,0.7977544665336609,0.9343011975288391
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,1024,0.7855421900749207,0.8202386498451233,0.9167129397392273,0.7789085507392883,0.8167846202850342,0.9124571681022644
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,2048,0.8024698495864868,0.8320736289024353,0.9423854351043701,0.7961739301681519,0.8248611688613892,0.9368009567260742
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,4096,0.7903382182121277,0.8235517144203186,0.9408200979232788,0.762996256351471,0.809950053691864,0.9318740367889404
RU Simple 3:3:1,RU,Simple,3:3:1,BGE-M3,8192,0.7201583385467529,0.794050931930542,0.941726565361023,0.7115861773490906,0.7803312540054321,0.9317044615745544
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,128,0.9518716335296631,0.8821293115615845,0.8614231944084167,0.886904776096344,0.7519466280937195,0.8700000047683716
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,256,0.9016366600990295,0.8367694020271301,0.9281437397003174,0.7794480919837952,0.783688485622406,0.8835047483444214
RU Simple 3:3:1,RU,Simple,3:3:1,DeBERTa-v3,512,0.7957659959793091,0.8233662843704224,0.9244430065155029,0.7829042077064514,0.8467257618904114,0.9134933948516846
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,256,0.7484991550445557,0.7324848175048828,0.9189789295196533,0.694247841835022,0.693476676940918,0.9082505702972412
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,512,0.7738882303237915,0.7917224168777466,0.8873503804206848,0.7640057802200317,0.8112698793411255,0.9229221343994141
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,1024,0.7838454246520996,0.8282022476196289,0.9286426305770874,0.7756817936897278,0.8233991265296936,0.9244546294212341
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,2048,0.8081331849098206,0.8445920348167419,0.9465026259422302,0.7977596521377563,0.8406055569648743,0.9349138736724854
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,4096,0.7862168550491333,0.8291405439376831,0.9453828930854797,0.7682332396507263,0.8187501430511475,0.9365792274475098
RU Simple 3:3:1,RU,Simple,3:3:1,ModernBERT,8192,0.7382494211196899,0.8046495318412781,0.9428329467773438,0.7277547717094421,0.7932330369949341,0.9321226477622986
